DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,NO_TEL
,229500,École Maïmonide,École Maïmonide,"1900, rue Bourdon",,66023,Montréal,V,H4M2X7,Établissement d'enseignement privé,Privé,https://www.ecolemaimonide.org,-73.673652,45.500473,514 744-5300
,237500,Éc. Marcelle-Mallet,École Marcelle-Mallet,"51, rue Déziel",,25213,Lévis,V,G6V3T7,Établissement d'enseignement privé,Privé,https://www.emm.qc.ca,-71.185259,46.810125,418 833-7691
,238500,École Marie Gibeau,École Marie Gibeau,"1331, rue Sainte-Hélène",,58227,Longueuil,V,J4K3S4,Établissement d'enseignement privé,Privé,https://www.ecolemariegibeau.com,-73.497931,45.517816,450 651-1131
,239500,École Marie-Anne,École Marie-Anne,"4567, rue du Mont-Pontbriand ",,62037,Rawdon,M,J0K1S0,Établissement d'enseignement privé,Privé,https://www.ecolemarieanne.org,-73.739531,46.059166,450 834-4668
,244500,École Marie-Clarac,École Marie-Clarac,"11273, avenue de Mère-Anselme",,66023,Montréal,V,H1H4Z2,Établissement d'enseignement privé,Privé,https://www.ecolemarie-clarac.qc.ca,-73.648537,45.589951,514 322-1161
,249500,École Montessori de l'Outaouais,École Montessori de l'Outaouais,"161, rue Principale",,81017,Gatineau,V,J9H7H4,Établissement d'enseignement privé,Privé,https://www.montessori-outaouais.qc.ca,-75.839752,45.396264,819 682-3299
,253500,École Montessori de la Mauricie,École Montessori de la Mauricie,"6400, rue Marion",,37067,Trois-Rivières,V,G9A6H3,Établissement d'enseignement privé,Privé,,-72.578911,46.320056,819 376-5509
,254500,École Montessori de Québec,École Montessori de Québec,"1265, avenue du Buisson",,23027,Québec,V,G1T2C4,Établissement d'enseignement privé,Privé,https://montessori-qc.com,-71.257489,46.779633,418 688-7646
,259500,École Montessori Ville-Marie,École Montessori Ville-Marie,"760, rue Saint-Germain",,66023,Montréal,V,H4L3R5,Établissement d'enseignement privé,Privé,https://www.ecolemontessorivillemarie.com,-73.676618,45.511903,514 335-6688
,266500,École Notre Dame de Nareg,École Notre Dame de Nareg,"500, 67e Avenue",,65005,Laval,V,H7V2N2,Établissement d'enseignement privé,Privé,,-73.7328,45.542206,450 680-1168
,268500,"Résonance Montréal, inc.","Résonance Montréal, inc.","4670, rue Sainte-Catherine Ouest",,66032,Westmount,V,H3Z1S5,Établissement d'enseignement privé,Privé,https://resonancemontreal.ca/,-73.595802,45.478594,514 488-4946
,269500,Collège Pasteur,Collège Pasteur,"12345, avenue de la Miséricorde",,66023,Montréal,V,H4J2E8,Établissement d'enseignement privé,Privé,https://www.collegepasteur.ca,-73.718422,45.534322,514 331-0850
,278500,Éc. Peter Hall,École Peter Hall inc.,"840, boulevard de la Côte-Vertu",,66023,Montréal,V,H4L1Y4,Établissement d'enseignement privé,Privé,https://www.peterhall.qc.ca,-73.674138,45.518779,514 747-4075
,279500,"École Plein Soleil, Coop. de solidarité","École Plein Soleil, Coopérative de solidarité","355, rue du Chardonnay",,43027,Sherbrooke,V,J1L0J3,Établissement d'enseignement privé,Privé,https://www.pleinsoleil.qc.ca,-71.948435,45.420094,819 569-8359
,288500,École première Mesifta du Canada,École première Mesifta du Canada,"2355, avenue Ekers",,66072,Mont-Royal,V,H3S1C6,Établissement d'enseignement privé,Privé,,-73.62899,45.514819,514 738-1738
,304500,École Les Trois Saisons,École Les Trois Saisons,"570, boulevard de Mortagne",,58033,Boucherville,V,J4B5E4,Établissement d'enseignement privé,Privé,https://www.ecoletroissaisons.com,-73.432659,45.593685,450 641-2000
,305500,École Socrates-Démosthène,École Socrates-Démosthène,"5757, avenue Wilderton",,66023,Montréal,V,H3S2K8,Établissement d'enseignement privé,Privé,https://www.socdem.org,-73.619769,45.509041,514 738-2421
,306500,École Rudolf Steiner de Montréal,École Rudolf Steiner de Montréal,"4855, avenue de Kensington",,66023,Montréal,V,H3X3S6,Établissement d'enseignement privé,Privé,https://www.ersm.org,-73.635614,45.471628,514 481-5686
,308500,École St-Georges de Montréal,L'École St-Georges de Montréal inc.,"3100, Le Boulevard",,66023,Montréal,V,H3Y1R9,Établissement d'enseignement privé,Privé,https://www.stgeorges.qc.ca,-73.596724,45.493723,514 937-9289
,311500,École Saint-Joseph (1985),École Saint-Joseph (1985),"4080, avenue De Lorimier",,66023,Montréal,V,H2K3X7,Établissement d'enseignement privé,Privé,https://www.stjoseph.qc.ca,-73.566584,45.531937,514 526-8288
